keyword,#Results,Link
"""“C” ing in Colors: Blue"" ""Safiya Henderson-Holmes""",,https://www.coursehero.com/search/results/1510142236/fc15f73b44b4f9da0d/
"""“Lucy Terry Prince Prepares for Her Marriage”"" ""Robin Coste Lewis""",,https://www.coursehero.com/
"""“The female seer will burn upon this pyre”"" ""Elizabeth Alexander""",3.0,https://www.coursehero.com/search/results/1510142649/58c1883f5f9c8ab65c/
"""“the light that came to lucille clifton”"" ""Lucille Clifton""",3.0,https://www.coursehero.com/search/results/1510142837/ce1cf6cbbc5d7b1156/
"""“The reeds shook. A wide flat ass cradled in leather pants. This”"" ""Simone White""",,https://www.coursehero.com/search/results/1510142991/03e0f45eea94c9b09b/
"""“The white man is a tiger at my throat”"" ""Claude McKay""",,https://www.coursehero.com/
"""“WE NEED”"" ""N. H. Pritchard""",2.0,https://www.coursehero.com/search/results/1510143479/5267c1c2e4aca89690/
"""(Elaine)"" ""William Carlos Williams""",272.0,https://www.coursehero.com/search/results/1510143630/88a5f5b227dbe1626f/
"""(Emily)"" ""William Carlos Williams""",2021.0,https://www.coursehero.com/search/results/1510143746/4f4182a6411d1f5c36/
"""(Erica)"" ""William Carlos Williams""",139.0,https://www.coursehero.com/search/results/1510143893/c80c64269b079b4837/
"""(a) Lullaby Without Any Music"" ""Jennifer Bartlett""",,https://www.coursehero.com/search/results/1510144060/91ae534e13c036609e/
"""(Afterward) One Corner More/ Notes on a Letter to the Singer Abbey Lincoln from Her Lover, Abraham Lincoln"" ""Harmony Holiday""",,https://www.coursehero.com/search/results/1510144224/b66f7dec777c5e888b/
"""(Don't) Call Me Crazy"" ""Kelly Jensen""",12.0,https://www.coursehero.com/search/results/1510144475/39d5f4626fe44dd88d/
"""(Love Song, With Two Goldfish)"" ""Grace Chua""",35.0,https://www.coursehero.com/search/results/1510144630/6fc0b1b7303f85ab3b/
"""(Re)Born in the USA"" ""Roger Bennett""",,https://www.coursehero.com/search/results/1510144815/11de46d3cc58a992a6/
"""(Re)Cycler"" ""Lauren McLaughlin""",,https://www.coursehero.com/search/results/1510145016/1eca0db41a40a457b3/
"""[(symbol)’s really beautiful. When (symbol)’s standing in the trees]"" ""Gabrielle Calvocoressi""",,https://www.coursehero.com/search/results/1510145162/9de28c413a65f20cf1/
"""[American Journal]"" ""Robert Hayden""",,https://www.coursehero.com/
"""[Bars Fight]"" ""Lucy Terry""",223.0,https://www.coursehero.com/search/results/1510145638/ecb4637218c12de77b/
"""[i carry your heart with me(i carry it in]"" ""E. E. Cummings""",309.0,https://www.coursehero.com/search/results/1510145812/c1865391f6103959d4/
"""[If mama/could see]"" ""Lucille Clifton""",2.0,https://www.coursehero.com/search/results/1510145942/a1301082385cff30e3/
"""[lady in brown] de library waz right down from de trolly tracks"" ""Ntozake Shange""",,https://www.coursehero.com/
"""[lady in red] at 4:30 AM"" ""Ntozake Shange""",,https://www.coursehero.com/search/results/1510146323/8427a4f6c42f54f2b8/
"""[lady in red] “there was no air / the sheets made ripples under his”"" ""Ntozake Shange""",2.0,https://www.coursehero.com/search/results/1510146511/91cd37380d1b0540c1/
"""[Locked away we’re like a Russian novel:]"" ""Gabrielle Calvocoressi""",,https://www.coursehero.com/search/results/1510146677/99dd11f2bb08d80132/
"""[love is more thicker than forget]"" ""E. E. Cummings""",60.0,https://www.coursehero.com/search/results/1510146965/723677659b7af4c90e/
"""[Test Title"" ""[Test Author]""",102.0,https://www.coursehero.com/search/results/1510147113/3ef6604ac026838ca7/
"""[The house was just twinkling in the moon light]"" ""Gertrude Stein""",10.0,https://www.coursehero.com/search/results/1510164736/1bc320881e1321a52e/
"""{#289-128}"" ""Randall Horton""",,https://www.coursehero.com/search/results/?stx=%22%7B%23289-128%7D%22%20%22Randall%20Horton%22&filters_product=all&searchTrigger=header
